,컨퍼런스보드 소비자 심리지수,미국 신규 실업수당 청구건수
180,111.2,2569250.0
181,108.2,2519000.0
182,106.3,2496000.0
183,108.5,2447750.0
184,105.3,2482000.0
185,111.9,2542250.0
186,105.0,2553000.0
187,99.5,2537200.0
188,95.2,2561750.0
189,183.0,5178500.0
190,271.6,6854800.0
191,359.5,11367250.0
192,76.4,2844250.0
193,65.9,2912800.0
194,62.8,2964000.0
195,58.1,3013600.0
196,51.0,3057750.0
197,51.9,3176250.0
198,58.5,3378000.0
199,61.4,3521750.0
200,38.0,3731000.0
201,82.9,7081400.0
202,121.5,13374000.0
203,159.2,15560400.0
204,25.3,5297000.0
205,26.9,5765750.0
206,40.8,6184500.0
207,54.8,6525600.0
208,49.3,6534250.0
209,47.4,6139000.0
210,54.5,6047800.0
211,53.4,5984750.0
212,48.7,5765600.0
213,99.3,12667500.0
214,152.9,17809250.0
215,209.4,19086400.0
216,46.0,4793750.0
217,52.3,4731750.0
218,57.7,4728000.0
219,62.7,4674800.0
220,54.3,4583250.0
221,51.0,4528600.0
222,53.2,4461250.0
223,48.5,4467750.0
224,49.9,4363400.0
225,104.2,9649750.0
226,157.5,13749750.0
227,222.3,14918200.0
228,72.0,3849250.0
229,63.8,3765500.0
230,66.0,3770800.0
231,61.7,3773750.0
232,57.6,3741750.0
233,59.2,3721600.0
234,45.2,3716000.0
235,46.4,3742750.0
236,40.9,3701600.0
237,96.1,8279500.0
238,160.9,10197000.0
239,222.4,16197500.0
240,71.6,3381750.0
241,69.5,3336800.0
242,68.7,3323000.0
243,64.4,3328000.0
244,62.7,3324400.0
245,65.4,3305750.0
246,61.3,3306250.0
247,68.4,3314400.0
248,72.2,3276250.0
249,143.7,6602500.0
250,210.4,8472200.0
251,268.8,13723000.0
252,68.0,3058750.0
253,61.9,3037800.0
254,69.0,3041500.0
255,74.3,3012250.0
256,82.1,2992800.0
257,81.0,3020250.0
258,81.8,2934400.0
259,80.2,2895750.0
260,72.4,2928500.0
261,144.4,5194000.0
262,221.9,9351000.0
263,301.3,12227750.0
264,78.3,2848750.0
265,83.9,2779200.0
266,81.7,2721000.0
267,82.2,2667400.0
268,86.4,2588750.0
269,90.3,2533500.0
270,93.4,2504800.0
271,89.0,2447750.0
272,94.1,2423250.0
273,185.1,4347400.0
274,278.2,7814250.0
275,382.0,8604400.0
276,98.8,2346750.0
277,101.4,2332000.0
278,95.2,2278750.0
279,95.4,2259000.0
280,101.4,2274250.0
281,90.9,2243250.0
282,101.5,2253600.0
283,103.0,2239000.0
284,97.6,2206200.0
285,188.0,4965000.0
286,284.5,7171250.0
287,382.6,7945200.0
288,92.2,2196750.0
289,96.2,2174500.0
290,94.2,2151600.0
291,92.6,2173750.0
292,98.0,2158000.0
293,97.3,2140800.0
294,101.1,2145750.0
295,104.1,2107750.0
296,98.6,2071800.0
297,205.7,4634250.0
298,319.4,5768000.0
299,431.2,9248750.0
300,114.8,2029250.0
