,Close
180,1434.89421
181,1431.760004
182,1517.115728
183,1614.943342
184,1754.2840030000002
185,1911.5590530000002
186,1815.0199969999999
187,1879.033541
188,2004.551369
189,3929.392268
190,6706.577203
191,7219.485446
192,1689.533895
193,1651.1542789999999
194,1776.577148
195,1844.804543
196,1761.7000039999998
197,1569.599567
198,1539.1952310000001
199,1447.989102
200,1211.172172
201,2466.792984
202,3260.945201
203,5103.83419
204,1139.745483
205,1140.454543
206,1322.098178
207,1400.497899
208,1395.243181
209,1460.033044
210,1577.907134
211,1659.446822
212,1630.6128509999999
213,3213.290469
214,4859.9276119999995
215,6785.081494
216,1598.956325
217,1665.504078
218,1730.2868260000002
219,1648.299997
220,1691.208566
221,1731.122725
222,1762.1836440000002
223,1815.7494600000002
224,1889.697138
225,3728.359081
226,5730.863165
227,8095.371402
228,2003.108822
229,2002.6690839999999
230,2153.132371
231,2121.871967
232,2074.64381
233,2150.056187
234,1869.40772
235,1790.949487
236,1825.544507
237,3518.381381
238,5549.153361
239,7717.622534
240,2003.2314219999998
241,2023.407145
242,1995.9195129999998
243,1886.350946
244,1848.5995059999998
245,1826.75
246,1918.912281
247,1961.288977
248,1942.193819
249,3758.6154619999998
250,6567.705010000001
251,7359.680004000001
252,1979.8547429999999
253,1990.2429989999998
254,1938.884083
255,1974.4537879999998
256,1884.4126170000002
257,1871.768268
258,1896.961897
259,1984.394457
260,2029.6752350000002
261,4039.5995450000005
262,6229.913532
263,8178.133032
264,1937.733002
265,1952.4295309999998
266,1991.1913559999998
267,1994.1347269999999
268,1995.083695
269,2021.952186
270,2060.933484
271,2042.7105390000002
272,1942.8028739999997
273,3999.5900149999998
274,5751.059053
275,7672.0519030000005
276,1961.00117
277,2012.6190960000001
278,2107.268161
279,2114.898899
280,2063.685907
281,2058.03435
282,1954.0209550000002
283,1939.582501
284,2020.5671559999998
285,4027.3480979999995
286,5998.876674
287,8193.471509
288,1900.6099989999998
289,1976.502736
290,1996.1704960000002
291,1966.6755190000001
292,1977.029512
293,2002.482846
294,2036.656366
295,2042.555266
296,2036.0325129999999
297,3832.685014
298,6036.860479
299,8400.452014
300,2082.7949949999997
