DATE,중국 산업생산 YOY Actual,Consensus,Previous,Revised
2019-06-14,5,5.5,5.4,
2019-05-15,5.4,6.5,8.5,
2019-04-17,8.5,5.9,5.3,
2019-03-14,5.3,5.5,5.7,
2019-01-21,5.7,5.3,5.4,
2018-12-14,5.4,5.9,5.9,
2018-11-14,5.9,5.7,5.8,
2018-10-19,5.8,6,6.1,
2018-09-14,6.1,6,6,
2018-08-14,6,6.3,6,
2018-07-16,6,6.5,6.8,
2018-06-14,6.8,6.9,7,
2018-05-15,7,6.3,6,
2018-04-17,6,6.2,7.2,
2018-03-14,7.2,6.1,6.2,
2018-01-18,6.2,6,6.1,
2017-12-14,6.1,6,6.2,
2017-11-14,6.2,6.3,6.6,
2017-10-19,6.6,6.2,6,
2017-09-14,6,6.6,6.4,
2017-08-14,6.4,7.2,7.6,
2017-07-17,7.6,6.5,6.5,
2017-06-14,6.5,6.3,6.5,
2017-05-15,6.5,7.1,7.6,
2017-04-17,7.6,,6.3,
2017-03-14,6.3,6.2,6,
2017-01-20,6,6.1,6.2,
2016-12-13,6.2,6.1,6.1,
2016-11-14,6.1,6.2,6.1,
2016-10-19,6.1,6.4,6.3,
2016-09-13,6.3,6.1,6,
2016-08-12,6,6.1,6.2,
2016-07-15,6.2,5.9,6,
2016-06-13,6,5.9,6,
2016-05-14,6,6.5,6.8,
2016-04-15,6.8,5.9,5.4,
2016-03-12,5.4,5.6,5.9,
2016-01-19,5.9,6,6.2,
2015-12-12,6.2,5.6,5.6,
2015-11-11,5.6,5.8,5.7,
2015-10-19,5.7,6,6.1,
2015-09-13,6.1,6.4,6,
2015-08-12,6,6.6,6.8,
2015-07-15,6.8,6,6.1,
2015-06-11,6.1,6,5.9,
2015-05-13,5.9,6,5.6,
2015-04-15,5.6,6.9,6.8,
2015-03-11,6.8,7.8,7.9,
2015-01-20,7.9,7.4,7.2,
2014-12-12,7.2,7.5,7.7,
2014-11-13,7.7,8,8,
2014-10-21,8,7.5,6.9,
2014-09-13,6.9,8.8,9,
2014-08-13,9,9,9.2,
2014-07-16,9.2,9,8.8,
2014-06-13,8.8,8.8,8.7,
2014-05-13,8.7,8.9,8.8,
2014-04-16,8.8,9,8.6,
2014-03-13,8.6,9.5,9.7,
2014-01-20,9.7,9.8,10,
2013-12-10,10,10.1,10.3,
2013-11-09,10.3,10,10.2,
2013-10-18,10.2,10.1,10.4,
2013-09-10,10.4,9.9,9.7,
2013-08-09,9.7,9,8.9,
2013-07-15,8.9,9.1,9.2,
2013-06-09,9.2,9.3,9.3,
2013-05-13,9.3,9.5,8.9,
2013-04-15,8.9,10,9.9,
2013-03-09,9.9,10.5,10.3,
2013-01-18,10.3,10.1,10.1,
2012-12-09,10.1,9.8,9.6,
2012-11-09,9.6,9.4,9.2,
2012-10-18,9.2,9,8.9,
2012-09-09,8.9,9.1,9.2,
2012-08-09,9.2,9.8,9.5,
2012-07-13,9.5,9.8,9.6,
2012-06-09,9.6,9.9,9.3,
2012-05-11,9.3,12,11.9,
2012-04-13,11.9,11.5,11.4,
2012-03-09,11.4,12.4,12.8,
2012-01-17,12.8,12.2,12.4,13.2
2011-12-09,12.4,,13.2,
2011-11-09,13.2,13.3,13.8,
2011-10-18,13.8,13.5,13.5,
2011-09-09,13.5,14.2,14,
2011-08-09,14,14.7,15.1,
2011-07-13,15.1,,13.3,
2011-06-14,13.3,13.1,13.4,
2011-05-11,13.4,,14.8,
2011-04-15,14.8,14,14.1,
2011-03-11,14.1,13.3,13.5,
2011-01-20,13.5,13.6,13.3,
2010-12-11,13.3,,13.1,
2010-11-11,13.1,13.5,13.3,
2010-10-21,13.3,14,13.9,
2010-09-11,13.9,,,
